 # filt(alp*rho*Vrx/tfpF)    filt(alp*rho*Vrx)/filt(tfpF)
  -0.1243603E+003  -0.1220991E+003
  -0.2167887E+003  -0.2189810E+003
  -0.2800282E+003  -0.3014470E+003
  -0.3070374E+003  -0.3368518E+003
  -0.2462201E+003  -0.2605064E+003
  -0.1736733E+003  -0.1794257E+003
  -0.1019245E+003  -0.9649664E+002
  -0.6307850E+002  -0.5388032E+002
  -0.5982026E+002  -0.5314907E+002
  -0.8345025E+002  -0.7981368E+002
  -0.1053474E+003  -0.1058199E+003
  -0.9036590E+002  -0.9487601E+002
  -0.4413343E+002  -0.4521695E+002
   0.5996983E+001   0.8760153E+001
   0.7427996E+002   0.8315063E+002
   0.1307690E+003   0.1472708E+003
   0.1465083E+003   0.1643155E+003
   0.1514288E+003   0.1669498E+003
   0.1469638E+003   0.1563897E+003
   0.1419456E+003   0.1499872E+003
   0.1743272E+003   0.1954042E+003
   0.1869512E+003   0.2088951E+003
   0.1752707E+003   0.1873870E+003
   0.1681281E+003   0.1736198E+003
   0.1272301E+003   0.1323756E+003
   0.6982045E+002   0.7668212E+002
   0.5673915E+002   0.6447496E+002
   0.4847607E+002   0.6024538E+002
   0.4046635E+002   0.5044200E+002
   0.4778056E+002   0.5754522E+002
   0.8682494E+002   0.9924232E+002
   0.1051868E+003   0.1145500E+003
   0.1070570E+003   0.1154009E+003
   0.1072062E+003   0.1150468E+003
   0.7825969E+002   0.8452440E+002
   0.5695047E+002   0.6145052E+002
   0.6853678E+002   0.7292191E+002
   0.7027877E+002   0.7416476E+002
   0.5300213E+002   0.5454868E+002
   0.3917242E+001   0.6456415E+001
  -0.9694142E+002  -0.9446242E+002
  -0.1979914E+003  -0.2044243E+003
  -0.2576207E+003  -0.2849273E+003
  -0.2741410E+003  -0.3044812E+003
  -0.2341603E+003  -0.2521751E+003
  -0.1766007E+003  -0.1854113E+003
  -0.1338860E+003  -0.1312000E+003
  -0.1165886E+003  -0.1091835E+003
  -0.1128743E+003  -0.1070211E+003
  -0.1226967E+003  -0.1207102E+003
  -0.1275336E+003  -0.1302149E+003
  -0.1109095E+003  -0.1157960E+003
  -0.7345783E+002  -0.7425812E+002
  -0.2797065E+002  -0.2455292E+002
   0.3980699E+002   0.4822345E+002
   0.1208332E+003   0.1401780E+003
   0.1660976E+003   0.1910626E+003
   0.1802460E+003   0.2039739E+003
   0.1783175E+003   0.1995024E+003
   0.1640615E+003   0.1815893E+003
   0.1759105E+003   0.1964455E+003
   0.1769190E+003   0.1914456E+003
   0.1726276E+003   0.1841576E+003
   0.1668077E+003   0.1868779E+003
   0.1333187E+003   0.1596114E+003
   0.9151341E+002   0.1113213E+003
   0.8509079E+002   0.1009405E+003
   0.8414555E+002   0.9579554E+002
   0.8163565E+002   0.8603814E+002
   0.7970276E+002   0.8087738E+002
   0.8441023E+002   0.8549407E+002
   0.8208849E+002   0.8434063E+002
   0.7578295E+002   0.7865262E+002
   0.7671360E+002   0.7969304E+002
   0.7722369E+002   0.8170513E+002
   0.7953146E+002   0.8429170E+002
   0.9990327E+002   0.1047397E+003
   0.1027330E+003   0.1065391E+003
   0.8158140E+002   0.8250347E+002
   0.2247592E+002   0.2713527E+002
  -0.8550014E+002  -0.8724667E+002
  -0.1884332E+003  -0.1999954E+003
  -0.2416365E+003  -0.2655135E+003
  -0.2493521E+003  -0.2766176E+003
  -0.2139209E+003  -0.2329906E+003
  -0.1614616E+003  -0.1701000E+003
  -0.1364891E+003  -0.1371801E+003
  -0.1356954E+003  -0.1331169E+003
  -0.1384555E+003  -0.1367648E+003
  -0.1410876E+003  -0.1433792E+003
  -0.1381854E+003  -0.1462351E+003
  -0.1240540E+003  -0.1332614E+003
  -0.1017980E+003  -0.1070524E+003
  -0.6225152E+002  -0.6393858E+002
   0.9772955E+001   0.1553586E+002
   0.1180239E+003   0.1452385E+003
   0.1852187E+003   0.2222841E+003
   0.2066986E+003   0.2418522E+003
   0.1975786E+003   0.2261426E+003
   0.1686935E+003   0.1872907E+003
   0.1594167E+003   0.1748927E+003
   0.1579325E+003   0.1717372E+003
   0.1679190E+003   0.1873311E+003
   0.1588626E+003   0.1827358E+003
   0.1395962E+003   0.1676185E+003
   0.1340357E+003   0.1558819E+003
   0.1236231E+003   0.1356239E+003
   0.1223752E+003   0.1282303E+003
   0.1205735E+003   0.1202054E+003
   0.9421797E+002   0.9212411E+002
   0.7478741E+002   0.7052027E+002
   0.5913717E+002   0.5661429E+002
   0.4910984E+002   0.4759028E+002
   0.5220028E+002   0.5112495E+002
   0.7045600E+002   0.7386081E+002
   0.1000768E+003   0.1081802E+003
   0.1319144E+003   0.1424011E+003
   0.1259739E+003   0.1345156E+003
   0.9784357E+002   0.1038381E+003
   0.3249557E+002   0.3635509E+002
  -0.9158683E+002  -0.9920203E+002
  -0.1878889E+003  -0.2036994E+003
  -0.2222843E+003  -0.2402493E+003
  -0.2309120E+003  -0.2505188E+003
  -0.1972288E+003  -0.2095600E+003
  -0.1545796E+003  -0.1642541E+003
  -0.1337364E+003  -0.1378498E+003
  -0.1365976E+003  -0.1376019E+003
  -0.1440262E+003  -0.1459806E+003
  -0.1418784E+003  -0.1482222E+003
  -0.1327779E+003  -0.1449321E+003
  -0.1240097E+003  -0.1361256E+003
  -0.1111479E+003  -0.1197933E+003
  -0.7584221E+002  -0.7972588E+002
  -0.1422519E+001   0.7337315E+001
   0.1219922E+003   0.1576200E+003
   0.2039797E+003   0.2413270E+003
   0.2301466E+003   0.2546536E+003
   0.2131897E+003   0.2271948E+003
   0.1721105E+003   0.1779254E+003
   0.1357222E+003   0.1398833E+003
   0.1316264E+003   0.1399866E+003
   0.1495980E+003   0.1667237E+003
   0.1400431E+003   0.1641663E+003
   0.1538250E+003   0.1824730E+003
   0.1759117E+003   0.1952765E+003
   0.1615833E+003   0.1715235E+003
   0.1514225E+003   0.1606927E+003
   0.1361494E+003   0.1431807E+003
   0.9322942E+002   0.9583013E+002
   0.7234801E+002   0.7132585E+002
   0.6041743E+002   0.5951857E+002
   0.4971061E+002   0.4853416E+002
   0.5074435E+002   0.4945809E+002
   0.7346418E+002   0.7630626E+002
   0.1105925E+003   0.1196396E+003
   0.1435608E+003   0.1580220E+003
   0.1295005E+003   0.1448456E+003
   0.9067656E+002   0.9998475E+002
   0.2485298E+002   0.2804257E+002
  -0.9611411E+002  -0.1092315E+003
  -0.1756380E+003  -0.1938515E+003
  -0.2050422E+003  -0.2260522E+003
  -0.2144979E+003  -0.2363774E+003
  -0.1847262E+003  -0.1935613E+003
  -0.1497421E+003  -0.1562709E+003
  -0.1369864E+003  -0.1416693E+003
  -0.1445134E+003  -0.1467193E+003
  -0.1502024E+003  -0.1521633E+003
  -0.1407725E+003  -0.1459060E+003
  -0.1227532E+003  -0.1304294E+003
  -0.1106859E+003  -0.1152946E+003
  -0.9967308E+002  -0.1016328E+003
  -0.6610389E+002  -0.6339577E+002
   0.5903286E+001   0.2343232E+002
   0.1216180E+003   0.1578832E+003
   0.2011117E+003   0.2257591E+003
   0.2278165E+003   0.2340140E+003
   0.2066573E+003   0.2057478E+003
   0.1625681E+003   0.1611245E+003
   0.1101377E+003   0.1108847E+003
   0.1025427E+003   0.1086728E+003
   0.1207163E+003   0.1377737E+003
   0.1152540E+003   0.1416096E+003
   0.1565013E+003   0.1858596E+003
   0.2024307E+003   0.2180436E+003
   0.1926119E+003   0.2034875E+003
   0.1742867E+003   0.2007912E+003
   0.1413658E+003   0.1684951E+003
   0.8590655E+002   0.9864841E+002
   0.6294275E+002   0.6945061E+002
   0.5605139E+002   0.6072120E+002
   0.5563074E+002   0.5758519E+002
   0.5783432E+002   0.5823666E+002
   0.7483009E+002   0.7721355E+002
   0.1115718E+003   0.1215707E+003
   0.1397152E+003   0.1561375E+003
   0.1222649E+003   0.1446198E+003
   0.8367457E+002   0.1013842E+003
   0.2156320E+002   0.2636740E+002
  -0.9214680E+002  -0.1077990E+003
  -0.1658837E+003  -0.1872021E+003
  -0.2003773E+003  -0.2229666E+003
  -0.2134278E+003  -0.2424674E+003
  -0.1750253E+003  -0.1857992E+003
  -0.1338630E+003  -0.1368641E+003
  -0.1262974E+003  -0.1283435E+003
  -0.1375371E+003  -0.1383225E+003
  -0.1453079E+003  -0.1461801E+003
  -0.1374051E+003  -0.1411348E+003
  -0.1179177E+003  -0.1236571E+003
  -0.1079641E+003  -0.1120058E+003
  -0.9939197E+002  -0.1014300E+003
  -0.6483718E+002  -0.6003821E+002
   0.1243480E+001   0.2054339E+002
   0.9789628E+002   0.1274521E+003
   0.1670851E+003   0.1823636E+003
   0.2000712E+003   0.2040886E+003
   0.1842842E+003   0.1870988E+003
   0.1466865E+003   0.1508284E+003
   0.1005338E+003   0.1059512E+003
   0.8668193E+002   0.9519904E+002
   0.9532180E+002   0.1121681E+003
   0.1002670E+003   0.1248080E+003
   0.1576525E+003   0.1844432E+003
   0.2216512E+003   0.2377544E+003
   0.2133724E+003   0.2304684E+003
   0.1765086E+003   0.2174486E+003
   0.1234266E+003   0.1627821E+003
   0.6181809E+002   0.8149676E+002
   0.6413800E+002   0.8388716E+002
   0.7692435E+002   0.9228033E+002
   0.9424727E+002   0.1015601E+003
   0.9487085E+002   0.1012319E+003
   0.8155087E+002   0.8823064E+002
   0.1077816E+003   0.1200925E+003
   0.1320663E+003   0.1491563E+003
   0.1127471E+003   0.1350909E+003
   0.8310563E+002   0.1063267E+003
   0.2838725E+002   0.3523511E+002
  -0.9227604E+002  -0.1072044E+003
  -0.1662073E+003  -0.1866459E+003
  -0.2052937E+003  -0.2292357E+003
  -0.2180744E+003  -0.2522091E+003
  -0.1690956E+003  -0.1818524E+003
  -0.1193592E+003  -0.1200169E+003
  -0.1152872E+003  -0.1159889E+003
  -0.1288670E+003  -0.1299727E+003
  -0.1434090E+003  -0.1454557E+003
  -0.1490157E+003  -0.1533384E+003
  -0.1340329E+003  -0.1404514E+003
  -0.1277285E+003  -0.1348979E+003
  -0.1202540E+003  -0.1260891E+003
  -0.8131676E+002  -0.7924684E+002
  -0.2405722E+002  -0.1061184E+002
   0.4681957E+002   0.6557300E+002
   0.1136776E+003   0.1260445E+003
   0.1598258E+003   0.1688099E+003
   0.1659018E+003   0.1784978E+003
   0.1432445E+003   0.1579383E+003
   0.1050053E+003   0.1185846E+003
   0.7967767E+002   0.9173196E+002
   0.7322291E+002   0.8443162E+002
   0.8650394E+002   0.1030034E+003
   0.1451728E+003   0.1616032E+003
   0.2072763E+003   0.2101056E+003
   0.1983187E+003   0.2041860E+003
   0.1514485E+003   0.1846125E+003
   0.9509465E+002   0.1270975E+003
   0.4613105E+002   0.6354149E+002
   0.7829301E+002   0.1055646E+003
   0.1124741E+003   0.1386455E+003
   0.1442642E+003   0.1558663E+003
   0.1447758E+003   0.1559607E+003
   0.1082895E+003   0.1242882E+003
   0.1096571E+003   0.1279551E+003
   0.1252230E+003   0.1439582E+003
   0.1072594E+003   0.1266062E+003
   0.8162089E+002   0.1023798E+003
   0.3507946E+002   0.4139964E+002
  -0.9425498E+002  -0.1111153E+003
  -0.1746068E+003  -0.1935956E+003
  -0.2075077E+003  -0.2307986E+003
  -0.2166338E+003  -0.2512760E+003
  -0.1627067E+003  -0.1801304E+003
  -0.1065018E+003  -0.1091460E+003
  -0.1059581E+003  -0.1097131E+003
  -0.1245016E+003  -0.1305271E+003
  -0.1703329E+003  -0.1788661E+003
  -0.2010479E+003  -0.2050930E+003
  -0.1947504E+003  -0.1955426E+003
  -0.1890032E+003  -0.1918286E+003
  -0.1544513E+003  -0.1559516E+003
  -0.8612319E+002  -0.8179985E+002
  -0.3186237E+002  -0.2202862E+002
   0.2239509E+002   0.3229515E+002
   0.1004058E+003   0.1022860E+003
   0.1475535E+003   0.1459352E+003
   0.1579777E+003   0.1585288E+003
   0.1412595E+003   0.1489769E+003
   0.1048505E+003   0.1175491E+003
   0.6677097E+002   0.8008604E+002
   0.5669916E+002   0.6636004E+002
   0.7607849E+002   0.8766261E+002
   0.1104374E+003   0.1242610E+003
   0.1493157E+003   0.1597507E+003
   0.1489214E+003   0.1635417E+003
   0.1112677E+003   0.1418810E+003
   0.6685775E+002   0.9189310E+002
   0.3773737E+002   0.5104395E+002
   0.6628050E+002   0.8542566E+002
   0.1069983E+003   0.1245366E+003
   0.1518139E+003   0.1517755E+003
   0.1811577E+003   0.1646232E+003
   0.1535299E+003   0.1564335E+003
   0.1427324E+003   0.1558431E+003
   0.1418149E+003   0.1553573E+003
   0.1123980E+003   0.1301551E+003
   0.8367861E+002   0.1005687E+003
   0.3863809E+002   0.4367061E+002
  -0.9004831E+002  -0.1012818E+003
  -0.1785789E+003  -0.1913765E+003
  -0.1890488E+003  -0.2010193E+003
  -0.1973913E+003  -0.2214211E+003
  -0.1488856E+003  -0.1623622E+003
  -0.1021162E+003  -0.1036880E+003
  -0.1094607E+003  -0.1126208E+003
  -0.1369469E+003  -0.1462273E+003
  -0.2187864E+003  -0.2380940E+003
  -0.2658523E+003  -0.2767835E+003
  -0.2680062E+003  -0.2692582E+003
  -0.2587892E+003  -0.2589348E+003
  -0.1827119E+003  -0.1811830E+003
  -0.8619112E+002  -0.8056004E+002
  -0.2588732E+002  -0.1835104E+002
   0.2707587E+002   0.3282262E+002
   0.1161429E+003   0.1201580E+003
   0.1567239E+003   0.1619386E+003
   0.1631372E+003   0.1678934E+003
   0.1416779E+003   0.1496847E+003
   0.1074239E+003   0.1195185E+003
   0.6261897E+002   0.7529170E+002
   0.5155142E+002   0.6173893E+002
   0.7101869E+002   0.8398689E+002
   0.7622626E+002   0.8872234E+002
   0.8819777E+002   0.1000830E+003
   0.9003260E+002   0.1027995E+003
   0.6375235E+002   0.7865761E+002
   0.3799840E+002   0.4882066E+002
   0.1730274E+002   0.2192474E+002
   0.4195258E+002   0.5157406E+002
   0.7283041E+002   0.8146030E+002
   0.1075155E+003   0.1059921E+003
   0.1690338E+003   0.1485287E+003
   0.1725260E+003   0.1496092E+003
   0.1706519E+003   0.1607971E+003
   0.1837264E+003   0.1795275E+003
   0.1627466E+003   0.1634912E+003
   0.1159420E+003   0.1202634E+003
   0.6293974E+002   0.6113082E+002
  -0.6484782E+002  -0.6749311E+002
  -0.1573988E+003  -0.1574105E+003
  -0.1356978E+003  -0.1479228E+003
  -0.1508232E+003  -0.1684672E+003
  -0.1282434E+003  -0.1357325E+003
  -0.1059317E+003  -0.1085519E+003
  -0.1248608E+003  -0.1316776E+003
  -0.1651448E+003  -0.1834262E+003
  -0.2591307E+003  -0.2940177E+003
  -0.3146816E+003  -0.3419443E+003
  -0.3205206E+003  -0.3328611E+003
  -0.2988079E+003  -0.3080998E+003
  -0.1978510E+003  -0.2029237E+003
  -0.8455305E+002  -0.8415098E+002
  -0.1879751E+002  -0.1595422E+002
   0.3514834E+002   0.3968737E+002
   0.1294015E+003   0.1428625E+003
   0.1624695E+003   0.1808679E+003
   0.1651045E+003   0.1826471E+003
   0.1408942E+003   0.1561739E+003
   0.1067182E+003   0.1211787E+003
   0.6483482E+002   0.7811248E+002
   0.5771582E+002   0.7048693E+002
   0.6624592E+002   0.8025292E+002
   0.4394637E+002   0.5247272E+002
   0.3316094E+002   0.3808840E+002
   0.3379779E+002   0.3784818E+002
   0.2387617E+002   0.2686859E+002
   0.1650056E+002   0.1792812E+002
   0.1173445E+001  -0.7270418E+000
   0.1301811E+002   0.1386327E+002
   0.3038179E+002   0.3204003E+002
   0.5344053E+002   0.5444289E+002
   0.1369429E+003   0.1266916E+003
   0.1740228E+003   0.1544163E+003
   0.1823990E+003   0.1602619E+003
   0.2180928E+003   0.2062439E+003
   0.2170288E+003   0.2144694E+003
   0.1662565E+003   0.1699801E+003
   0.1156736E+003   0.1192952E+003
   0.2259869E+001  -0.8375397E+000
  -0.9539141E+002  -0.9978636E+002
  -0.7406623E+002  -0.8313630E+002
  -0.9505039E+002  -0.1063026E+003
  -0.1027795E+003  -0.1093977E+003
  -0.1017395E+003  -0.1078860E+003
  -0.1414432E+003  -0.1562798E+003
  -0.1971382E+003  -0.2259306E+003
  -0.2916249E+003  -0.3335901E+003
  -0.3548750E+003  -0.3904459E+003
  -0.3600239E+003  -0.3830884E+003
  -0.3142184E+003  -0.3386872E+003
  -0.1972075E+003  -0.2170225E+003
  -0.7634428E+002  -0.8462780E+002
  -0.1472585E+001  -0.1463614E+001
   0.4883237E+002   0.5467808E+002
   0.1389713E+003   0.1586815E+003
   0.1647416E+003   0.1864970E+003
   0.1578342E+003   0.1786449E+003
   0.1339368E+003   0.1545901E+003
   0.9990694E+002   0.1174911E+003
   0.6282899E+002   0.7704326E+002
   0.5737572E+002   0.7110093E+002
