# ~alp d~p/dz   Phi_p_sgs,z
  -0.5650401E+001   0.6383132E+001
  -0.6008523E+001   0.2495920E+001
  -0.6008510E+001   0.1197457E+001
  -0.5624615E+001   0.3782231E+000
  -0.5875853E+001   0.4417241E+000
  -0.5269014E+001   0.2410691E+000
  -0.7079540E+001  -0.8169939E-001
  -0.2106623E+002   0.1029310E+002
  -0.1637961E+002   0.4218419E+002
  -0.5782575E+001   0.4338159E+002
  -0.2106100E+002   0.3046886E+002
  -0.7876590E+001   0.3141054E+000
  -0.5508032E+001   0.4029033E+000
  -0.8331919E+001   0.1010027E+001
  -0.7988227E+001   0.5167937E+000
  -0.5084809E+001   0.4477473E+000
  -0.2880302E+001   0.2630153E+000
  -0.1801708E+001   0.8113915E-001
  -0.1545286E+001  -0.7076497E-003
  -0.2055713E+001  -0.2230567E-001
  -0.2795226E+001  -0.3190327E-001
  -0.2831144E+001  -0.7930111E-001
  -0.2103334E+001  -0.9465751E-001
  -0.1119492E+001  -0.1448994E+000
  -0.1510023E-001  -0.5662205E-001
   0.4615702E+001   0.1648188E+001
   0.1878802E+002   0.2722756E+002
   0.1050617E+003   0.2082911E+003
   0.3443912E+003   0.5500995E+003
   0.3702493E+003   0.5693160E+003
   0.1217211E+003   0.2601407E+003
   0.1118652E+002   0.3493649E+002
  -0.7432414E-001   0.1644921E+001
  -0.7191124E+000   0.1881202E-001
  -0.1727972E+001   0.5778495E-001
  -0.6610594E+001   0.8161467E+000
  -0.1354793E+002   0.3747572E+001
  -0.1627922E+001   0.1212993E+002
   0.3372393E+002   0.1447024E+002
   0.3016090E+002   0.2031722E+002
   0.2523738E+001   0.1630915E+002
  -0.9735221E+001   0.1043975E+002
  -0.1629773E+002   0.1334565E+002
  -0.2132889E+002   0.1393595E+002
  -0.3208057E+002   0.1032756E+002
  -0.3228741E+002   0.5320504E+001
  -0.2378202E+002   0.2799223E+001
  -0.2341574E+002   0.1587435E+002
   0.1402861E+002   0.2602153E+002
   0.2093988E+002   0.2815313E+002
  -0.6821096E+001   0.1698464E+002
  -0.8000873E+001   0.5219428E+001
  -0.5974583E+001   0.1849437E+001
  -0.6287587E+001  -0.1251556E-001
  -0.8030524E+001   0.8776857E-001
  -0.6230275E+001   0.2643799E+000
  -0.3100392E+001   0.1340269E+000
  -0.1436250E+001   0.2394477E-001
  -0.1089729E+001  -0.2991585E-002
  -0.1389607E+001  -0.1468270E-002
  -0.1674424E+001   0.9306326E-003
  -0.1591950E+001  -0.6967445E-002
  -0.1079424E+001  -0.4878358E-001
  -0.2443956E+000   0.3702411E-001
   0.1216734E+001   0.5717078E+000
   0.2221420E+002   0.9479587E+001
   0.8021438E+002   0.4279619E+002
   0.2461667E+003   0.1747435E+003
   0.4690336E+003   0.3309717E+003
   0.3417530E+003   0.3439973E+003
   0.7456363E+002   0.1539469E+003
   0.4531744E+001   0.1355679E+002
  -0.4314399E+000   0.1012436E+001
  -0.1212491E+001   0.3893243E-001
  -0.2390483E+001   0.1124227E+000
  -0.5567070E+001   0.3698791E+000
  -0.1154935E+002   0.2978900E+001
  -0.2609572E+000   0.1461548E+002
   0.5703808E+002   0.1609149E+002
   0.7053063E+002   0.1874161E+002
   0.1674294E+002   0.2268903E+002
  -0.9169326E+001   0.9469545E+001
  -0.1783907E+002   0.1267994E+002
  -0.2482773E+002   0.1460551E+002
  -0.4092055E+002   0.1198311E+002
  -0.4852062E+002   0.5685987E+001
  -0.3969115E+002   0.1341134E+001
  -0.2104442E+002   0.7684091E+001
   0.1201540E+002   0.1022547E+002
   0.1875496E+002   0.1367113E+002
   0.8650156E+001   0.8218701E+001
  -0.2379324E+001   0.9900033E+001
  -0.7013798E+001   0.3367607E+001
  -0.5038464E+001  -0.2309857E+000
  -0.7466875E+001   0.1962453E-001
  -0.7259042E+001   0.3490681E+000
