#dalpdx  dalpdy   dalpdz
  -0.6407224E+000   0.3013998E+001   0.4327840E+000
  -0.5467245E+001   0.2602191E+001  -0.3093231E+000
  -0.7948740E+000   0.1400397E+001  -0.2007384E+001
  -0.8772427E+000  -0.8516881E+000  -0.2176856E+001
  -0.2670646E+001  -0.3388938E+001  -0.1589867E+001
  -0.2133130E+001  -0.4785738E+001  -0.1103729E+001
  -0.4067452E+001  -0.4493924E+001   0.3021803E+000
  -0.3820506E+001  -0.2809421E+001   0.1136897E+001
   0.2378391E+000  -0.2601096E+001   0.5323839E+000
   0.4028679E+001  -0.2848191E+001   0.3286242E+000
   0.3893670E+001  -0.2979084E+001  -0.5555549E-001
   0.2459378E+001  -0.5528251E+001  -0.1862549E+001
   0.5405796E+000  -0.5712235E+001  -0.1772910E+001
   0.2389582E+001  -0.5329664E+001  -0.1777143E+001
   0.6567995E+001  -0.4389110E+001  -0.2397378E+001
   0.6860050E+001  -0.6394973E+000  -0.3444056E+001
   0.7210556E+001  -0.1325566E+001  -0.5112839E+001
   0.3476014E+001  -0.2360266E+001  -0.6781315E+001
  -0.6619374E+001  -0.1295664E+001  -0.6446695E+001
  -0.3837329E+001  -0.3494388E+001  -0.4713322E+001
  -0.6129741E+001  -0.5994152E+001  -0.3684955E+001
  -0.5986361E+001  -0.5810024E+001  -0.2691677E+001
   0.2165980E+000  -0.1008271E+002  -0.3326322E+001
  -0.2517175E+001  -0.1074053E+002  -0.4130617E+001
  -0.4039458E+001  -0.8526590E+001  -0.4767011E+001
  -0.1413748E+001  -0.8141217E+001  -0.3006469E+001
  -0.1421496E+001  -0.4619406E+001  -0.1552405E+001
   0.5106087E+000  -0.2332786E+001  -0.1140078E+001
   0.7939600E+000  -0.2007729E+001  -0.3959030E+000
   0.1075166E+001  -0.6503955E+000  -0.9463496E+000
   0.3482185E+001  -0.1191497E+001  -0.1698884E+001
   0.4485663E+001  -0.2471648E+001  -0.4848849E+000
   0.2407157E+001  -0.1839458E+001   0.5723441E+000
   0.5869608E+000  -0.5103373E+000   0.1187251E+001
  -0.1474295E+001   0.1410739E+001   0.1814515E+001
  -0.1468624E+001   0.5480443E+001   0.5918380E+000
   0.1663391E+001   0.7326866E+001  -0.6761913E+000
   0.5497051E+001   0.8235373E+001  -0.3053764E+000
   0.3440155E+001   0.8587960E+001   0.1072658E+000
   0.1550726E+001   0.6382686E+001   0.9376095E+000
  -0.8296680E+000   0.5140742E+001   0.7401941E+000
  -0.6481581E+001   0.4110979E+001   0.9724729E-001
  -0.3272052E+001   0.1688521E+001  -0.1434786E+001
  -0.2684066E+001  -0.3919276E+000  -0.1578262E+001
  -0.4588941E+001  -0.1931192E+001  -0.6664226E+000
  -0.2621724E+001  -0.3168675E+001  -0.2414015E+000
  -0.2622061E+001  -0.2663776E+001   0.4330874E+000
  -0.2563958E+001  -0.3317703E+000   0.2677784E+000
   0.1477160E+000   0.5205483E+000  -0.3445830E+000
   0.2844934E+001  -0.3177934E+000  -0.7237002E+000
   0.2289536E+001  -0.2894485E+001  -0.1415323E+001
   0.2093377E+001  -0.1034960E+001  -0.2389254E+001
  -0.1904513E+000  -0.1011612E+001  -0.2329575E+001
   0.2268338E+001  -0.1521661E+001  -0.2304126E+001
   0.6589385E+001  -0.2414638E+001  -0.2387555E+001
   0.7109357E+001  -0.4283728E+001  -0.3748984E+001
   0.5946433E+001  -0.7107150E+001  -0.5715619E+001
   0.3592870E+001  -0.8325998E+001  -0.6652986E+001
  -0.4559372E+001  -0.7100059E+001  -0.6356547E+001
