#sig_xx    sig_xy    sig_xz    sig_yy    sig_yz    sig_zz
   0.9974943E-001  -0.1916550E-002  -0.2014820E+000   0.8232245E-002  -0.8267063E-002   0.5702480E+000
   0.4498906E-001   0.1556210E-002  -0.1102551E+000   0.1996390E-001  -0.7147951E-001   0.6345047E+000
   0.1907786E-001   0.1200839E-001  -0.5602963E-002   0.1932742E-001  -0.1257119E-001   0.3942273E+000
   0.2281803E-001  -0.1306174E-001  -0.1235983E+000   0.2222308E-001   0.1580765E+000   0.1322656E+001
   0.8518550E-001  -0.4776721E-001  -0.4162854E+000   0.4553291E-001   0.3143911E+000   0.2498334E+001
   0.9530314E-001  -0.6026045E-001  -0.4071320E+000   0.8006364E-001   0.4314231E+000   0.2668260E+001
   0.5799211E-001  -0.4985010E-001  -0.2475026E+000   0.6583056E-001   0.3369169E+000   0.2253290E+001
   0.3662830E-001  -0.1584455E-001  -0.1253989E+000   0.1658590E-001   0.3522138E-001   0.5852340E+000
   0.2902795E-001   0.4553400E-002  -0.5645376E-001   0.1731073E-001  -0.2112169E-001   0.2039233E+000
   0.3892956E-001   0.1452849E-001  -0.7802281E-001   0.2891565E-001  -0.5012970E-001   0.2648355E+000
   0.5176924E-001   0.3866215E-001  -0.9754675E-001   0.6953975E-001  -0.1186830E+000   0.2552347E+000
   0.3976846E-001   0.5778133E-001  -0.7518657E-001   0.1908971E+000  -0.2221313E+000   0.2782981E+000
   0.7472775E-001   0.5303953E-001  -0.5964297E-001   0.3716690E+000  -0.2428301E+000   0.2380022E+000
   0.1198182E+000   0.4158635E-001  -0.4231857E-001   0.3044993E+000  -0.6694731E-001   0.1694817E+000
   0.4865022E-001   0.2167309E-001  -0.1709741E-001   0.1537226E+000   0.4927410E-002   0.1979245E+000
   0.2080149E-001  -0.5563379E-002  -0.1033356E-001   0.1238304E+000  -0.4776420E-001   0.3896920E+000
   0.3232284E-001  -0.3810784E-001   0.1169833E+000   0.9581933E-001  -0.8504117E-001   0.7691337E+000
   0.1158777E-001  -0.9479813E-002   0.8041464E-001   0.2621238E-001  -0.1982572E-001   0.8992517E+000
   0.1119399E-001  -0.7624658E-002   0.4890775E-001   0.2344243E-001   0.2052373E-001   0.4730765E+000
   0.8082336E-002   0.6681042E-002   0.1947900E-001   0.3683046E-001   0.5325579E-001   0.3260055E+000
   0.9838509E-002   0.2035222E-002  -0.3234423E-002   0.1346761E-001   0.3959760E-001   0.2263382E+000
   0.6399468E-001   0.2447363E-001   0.3468148E-001   0.1941620E-001  -0.3331871E-001   0.7723638E+000
   0.7095609E-001   0.9715973E-002   0.2136781E+000   0.1232359E-001   0.1785576E-001   0.1011237E+001
   0.2838211E-001   0.5109252E-002  -0.1988032E-001   0.4986267E-002  -0.9283354E-003   0.7379014E-001
   0.3156708E-001  -0.1277424E-001  -0.5551225E-001   0.2388096E-001   0.3605532E-001   0.1439170E+000
   0.6261438E-001   0.3981135E-001   0.1276940E+000   0.5768735E-001   0.1289214E+000   0.3922266E+000
   0.8702592E-001   0.3030146E-001   0.1835707E+000   0.5595482E-001   0.1243148E+000   0.5532105E+000
   0.1757941E-001   0.3525026E-002   0.2835119E-001   0.1996938E-001   0.7697328E-001   0.5074732E+000
   0.2267526E-001  -0.6628449E-002   0.8340297E-001   0.7279860E-002  -0.2363169E-001   0.3890767E+000
   0.2773004E-001   0.4562587E-002   0.1189352E+000   0.9162713E-002   0.5245468E-001   0.7343357E+000
   0.4471324E-001   0.1782518E-001   0.1779895E+000   0.8656819E-002   0.8140666E-001   0.8601098E+000
   0.4495732E-001   0.5469745E-001   0.1797086E+000   0.9975872E-001   0.4133281E+000   0.2092741E+001
   0.1732335E-001   0.1613549E-001   0.8123318E-002   0.2399890E-001   0.3287045E-001   0.1160493E+000
   0.6300812E-002   0.5913624E-002   0.2821118E-001   0.1063904E-001   0.3873044E-001   0.1896166E+000
   0.1269903E-001   0.8323744E-002   0.6479077E-001   0.8453772E-002   0.6093496E-001   0.5053697E+000
   0.1338318E-001   0.8394734E-002   0.7196533E-001   0.1412038E-001   0.7345017E-001   0.5512442E+000
   0.8107815E-002  -0.2051792E-002   0.9476469E-002   0.8392876E-002   0.1699749E-001   0.8049997E-001
   0.7064359E-002   0.3460276E-003   0.2368831E-002   0.1684057E-001   0.7598946E-003   0.3336617E+000
   0.1166758E-001   0.2167014E-001   0.8082546E-001   0.5903668E-001   0.2448895E+000   0.1216593E+001
   0.6501219E-002  -0.4480383E-002   0.1140940E-001   0.1027611E-001  -0.3008536E-003   0.1595825E+000
   0.2204295E-001  -0.2486084E-002  -0.1081272E+000   0.1531249E-001  -0.7118879E-001   0.1119320E+001
   0.3025730E-001  -0.2998635E-002  -0.6797409E-001   0.5157393E-002   0.9886706E-003   0.3322178E+000
   0.2485925E-001   0.5755791E-002  -0.2890056E-001   0.5732979E-002  -0.7784588E-002   0.1305496E+000
   0.1854406E-001   0.3091605E-002   0.1311908E-001   0.8114973E-002   0.1979859E-001   0.8197444E-001
   0.1177338E-001   0.7708300E-003   0.1972486E-001   0.1303579E-001   0.4172049E-001   0.2650967E+000
   0.2596471E-001  -0.2143071E-002  -0.3327371E-001   0.9408153E-002   0.3406331E-001   0.4045354E+000
   0.2629566E-001  -0.8743917E-002  -0.5251864E-001   0.9845062E-002   0.8931868E-002   0.2356540E+000
   0.1489831E-001  -0.1469563E-002  -0.3469278E-001   0.1020498E-001  -0.6214044E-002   0.1344241E+000
   0.1000199E-001   0.5030355E-002  -0.2164835E-001   0.8374937E-002  -0.1698627E-001   0.2222438E+000
   0.1915810E-001   0.1174182E-001  -0.2362475E-001   0.1483561E-001  -0.3712650E-001   0.3227980E+000
   0.1127204E-001   0.1394102E-001  -0.2800570E-001   0.3326203E-001  -0.4097762E-001   0.2021243E+000
   0.1045875E-001   0.4077957E-002   0.7284220E-003   0.5360546E-001  -0.1542112E-001   0.1445709E+000
   0.1828340E+000   0.8910867E-002  -0.3126551E+000   0.9056084E-001  -0.1492201E+000   0.1131029E+001
   0.2348450E+000   0.1524090E+000  -0.3723704E+000   0.3084385E+000  -0.6651936E+000   0.1720338E+001
   0.4924045E-001  -0.2392808E-001   0.7032677E-001   0.3084998E+000  -0.5235843E+000   0.1155358E+001
   0.4514241E-001  -0.9041138E-001   0.1695239E+000   0.2088768E+000  -0.3537635E+000   0.8183250E+000
   0.2124929E-001  -0.2199911E-001   0.2964795E-001   0.3959806E-001  -0.7688403E-001   0.2478211E+000
   0.6249179E-001   0.1380210E-001  -0.1672284E+000   0.1871453E-001  -0.6127875E-001   0.5197534E+000
   0.2137943E-001   0.2199390E-001  -0.7259953E-001   0.8298186E-001  -0.1978868E+000   0.8278650E+000
   0.4731320E-002  -0.1995185E-002   0.1950141E-001   0.3982500E-001  -0.1231405E+000   0.5765431E+000
   0.1580969E-001   0.5714658E-002   0.3690014E-002   0.9847302E-002   0.1794944E-001   0.2035323E+000
   0.1148661E-001  -0.7241695E-002   0.3784715E-001   0.1630376E-001  -0.3629325E-001   0.3814899E+000
   0.1108038E-001  -0.3461098E-002   0.3334642E-001   0.2838558E-001  -0.7674830E-002   0.4621677E+000
   0.2430339E-001   0.7566415E-002   0.5739954E-002   0.1838204E-001   0.1116339E-001   0.2495429E-001
   0.4569218E-001   0.2626192E-002  -0.1741756E-001   0.1546117E-001   0.7412155E-002   0.3332644E-001
   0.6233887E-001  -0.1996327E-002  -0.9948306E-001   0.8147139E-002   0.7681800E-002   0.1767123E+000
   0.4446048E-001  -0.6812393E-002  -0.9085496E-001   0.6940903E-002  -0.1367765E-003   0.5155948E+000
   0.1863242E-001   0.4243819E-002   0.1593666E-001   0.3640041E-002  -0.6654698E-002   0.6615086E+000
   0.1357167E-001  -0.1670586E-002   0.1684880E-001   0.3365529E-001  -0.1594169E-001   0.3765892E+000
   0.1162548E-001   0.1338729E-001   0.8174565E-002   0.3684954E-001   0.2651311E-001   0.4665494E-001
