 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.7403870E+003   0.7704451E+003
   0.7132690E+003   0.7507052E+003
   0.6952679E+003   0.7321177E+003
   0.6978865E+003   0.7441785E+003
   0.7008784E+003   0.7462220E+003
   0.7176097E+003   0.7486965E+003
   0.7441730E+003   0.7702120E+003
   0.7522910E+003   0.7761833E+003
   0.7762153E+003   0.7965571E+003
   0.7892219E+003   0.8145455E+003
   0.7916817E+003   0.8130663E+003
   0.8039395E+003   0.8194658E+003
   0.7865886E+003   0.7918012E+003
   0.7245687E+003   0.7458343E+003
   0.6816233E+003   0.7252605E+003
   0.6386878E+003   0.6822622E+003
   0.5962786E+003   0.6400641E+003
   0.6011752E+003   0.6401175E+003
   0.6066034E+003   0.6391191E+003
   0.6291190E+003   0.6273101E+003
   0.6879509E+003   0.6820939E+003
   0.7344395E+003   0.7330225E+003
   0.7355983E+003   0.7464626E+003
   0.6785638E+003   0.6904315E+003
   0.6140628E+003   0.6238181E+003
   0.5725171E+003   0.5869364E+003
   0.5250779E+003   0.5455268E+003
   0.5094389E+003   0.5440600E+003
   0.5321395E+003   0.5739673E+003
   0.5739673E+003   0.5883411E+003
   0.7169340E+003   0.7317376E+003
   0.8939982E+003   0.9298583E+003
   0.1061617E+004   0.1088816E+004
   0.1173381E+004   0.1172534E+004
   0.1158281E+004   0.1130310E+004
   0.1078335E+004   0.1055028E+004
   0.9998803E+003   0.9772674E+003
   0.9052976E+003   0.9010764E+003
   0.8293437E+003   0.8418996E+003
   0.7812510E+003   0.7991728E+003
   0.7334744E+003   0.7613029E+003
   0.6890600E+003   0.7293654E+003
   0.6491573E+003   0.6902919E+003
   0.6446919E+003   0.6913178E+003
   0.6506432E+003   0.6947073E+003
   0.6700169E+003   0.7050947E+003
   0.7171166E+003   0.7472720E+003
   0.7396331E+003   0.7636166E+003
   0.7684432E+003   0.7893415E+003
   0.7829182E+003   0.8114706E+003
   0.7833787E+003   0.8056745E+003
   0.7816494E+003   0.8099790E+003
   0.7550239E+003   0.7758596E+003
   0.7122838E+003   0.7466145E+003
   0.6599774E+003   0.7064646E+003
   0.6122882E+003   0.6559803E+003
   0.5784533E+003   0.6273243E+003
   0.5648566E+003   0.6243363E+003
   0.5599428E+003   0.6165657E+003
   0.5709500E+003   0.5905498E+003
   0.5986516E+003   0.6105027E+003
   0.6268303E+003   0.6362342E+003
   0.6349216E+003   0.6439515E+003
   0.5985032E+003   0.6019025E+003
   0.5628240E+003   0.5701566E+003
   0.5462353E+003   0.5599676E+003
   0.5290655E+003   0.5496146E+003
   0.5323227E+003   0.5724505E+003
   0.5608222E+003   0.6102964E+003
   0.6079893E+003   0.6257882E+003
   0.7374517E+003   0.7438672E+003
   0.9085221E+003   0.9313940E+003
   0.9978933E+003   0.1015841E+004
   0.1089697E+004   0.1081067E+004
   0.1065371E+004   0.1051828E+004
   0.9812715E+003   0.9832542E+003
   0.9313941E+003   0.9199827E+003
   0.8755716E+003   0.8674829E+003
   0.8384817E+003   0.8342572E+003
   0.8268569E+003   0.8244293E+003
   0.7842935E+003   0.7920338E+003
   0.7353456E+003   0.7613570E+003
   0.6915505E+003   0.7227848E+003
   0.6809763E+003   0.7180628E+003
   0.6829638E+003   0.7230040E+003
   0.6849447E+003   0.7239134E+003
   0.7128257E+003   0.7525508E+003
   0.7273801E+003   0.7719057E+003
   0.7437416E+003   0.7911162E+003
   0.7516014E+003   0.7964674E+003
   0.7586290E+003   0.7917967E+003
   0.7566293E+003   0.7941044E+003
   0.7398233E+003   0.7621683E+003
   0.7250298E+003   0.7523562E+003
   0.6705493E+003   0.7087410E+003
   0.6130391E+003   0.6494190E+003
   0.5680157E+003   0.6178307E+003
   0.5224306E+003   0.5909779E+003
   0.4981072E+003   0.5706881E+003
   0.4863732E+003   0.5271434E+003
   0.4835023E+003   0.5129951E+003
   0.5057720E+003   0.5298886E+003
   0.5263663E+003   0.5429820E+003
   0.5225943E+003   0.5294068E+003
   0.5304159E+003   0.5392309E+003
