# ~alp d~p/dy   Phi_p_sgs,y
  -0.2345396E+002  -0.4424641E+000
  -0.6159280E+001  -0.2251601E+000
  -0.6542065E+001  -0.1505762E-001
  -0.9070501E+001   0.4386303E-001
  -0.7499545E+001   0.2730229E-001
  -0.1158453E+002  -0.1353493E+000
  -0.2887728E+002   0.1876347E+000
  -0.3019547E+002  -0.5484239E+001
  -0.1010427E+002  -0.3677980E+000
  -0.6212630E+001  -0.6751368E+000
  -0.7957619E+002  -0.1124814E+002
  -0.8138205E+002  -0.2500857E+001
  -0.6081513E+002  -0.2189473E+001
   0.1014518E+002   0.1323973E+001
  -0.6200735E+002   0.1148808E+001
  -0.6054435E+002  -0.3348186E+001
  -0.1730513E+002  -0.1141723E+000
  -0.9940258E+001  -0.8399367E+000
  -0.1386700E+001  -0.8955854E+000
  -0.2432194E+001  -0.1130270E+000
  -0.5037724E+001  -0.8113044E-001
   0.3727959E+001  -0.9697090E-001
   0.2763583E+001   0.1415153E-001
   0.3816872E+001  -0.3297604E-001
   0.1293721E+002  -0.1795665E+000
   0.2966940E+001   0.3404916E-001
