#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
   0.1583181E+002   0.1379338E+002  -0.7890237E+001   0.5592555E+002   0.1271558E+002   0.8598068E+000  -0.1821306E+003   0.5393427E+002  -0.2833295E+002   0.2144393E+000   0.2320059E+005
   0.9975753E+001   0.2981301E+002  -0.2393875E+001   0.3498943E+002   0.2795440E+002   0.1200410E+001  -0.3983091E+003   0.2394238E+003  -0.3765977E+002   0.2703822E+000   0.1136303E+006
   0.4076050E+001   0.4341429E+002   0.2542861E+001  -0.5829366E+001   0.4262999E+002   0.2545147E+000  -0.5086077E+003   0.3658624E+003  -0.4501062E+002   0.1695420E+001   0.1996368E+006
  -0.6598444E+001   0.4868307E+002   0.7668266E+000  -0.1873693E+002   0.4596987E+002  -0.3932374E+000  -0.4240370E+003   0.3847957E+003  -0.3991875E+002  -0.5473251E+000   0.1676600E+006
  -0.2122235E+002   0.4782999E+002  -0.4437487E+001  -0.1392981E+002   0.3704277E+002  -0.2286341E+001  -0.2474929E+003   0.3166139E+003  -0.1801676E+002  -0.2196330E+001   0.8385552E+005
  -0.3400175E+002   0.4658276E+002  -0.1015198E+002   0.8502704E+001   0.2050392E+002  -0.2808513E+001  -0.2120454E+002   0.1602984E+003   0.9860491E+001  -0.3637340E+001   0.1607971E+005
  -0.2489164E+002   0.4148585E+002  -0.8846417E+001   0.2105599E+002   0.4032799E+001   0.1730199E+001   0.1155137E+003  -0.1130106E+002   0.1893129E+002  -0.1927554E+001   0.8683513E+004
  -0.1256955E+002   0.3232369E+002  -0.4031650E+001   0.2055243E+002  -0.6166821E+001   0.5484617E+001   0.1576301E+003  -0.1146829E+003   0.1910807E+002   0.3717009E+000   0.1971742E+005
  -0.1049478E+002   0.1934174E+002   0.3006122E+001  -0.2971624E+001  -0.1131623E+002   0.1238148E+002   0.1667691E+003  -0.1378562E+003   0.2319829E+002   0.1387278E+001   0.2319348E+005
  -0.1419773E+002   0.4264646E+001   0.1057247E+002  -0.3983307E+002  -0.1765871E+002   0.1943562E+002   0.1295540E+003  -0.1182210E+003   0.3265450E+002   0.7980641E+000   0.1690905E+005
