 # filt(alp*rho*Vry/tfpF)    filt(alp*rho*Vry)/filt(tfpF)
  -0.1312276E+003  -0.1221875E+003
  -0.2221583E+003  -0.2116994E+003
  -0.3192114E+003  -0.3110214E+003
  -0.3781664E+003  -0.3797914E+003
  -0.3719151E+003  -0.3799208E+003
  -0.3396964E+003  -0.3411747E+003
  -0.2859360E+003  -0.2844626E+003
  -0.2269734E+003  -0.2347694E+003
  -0.1641835E+003  -0.1786755E+003
  -0.9512965E+002  -0.1038666E+003
  -0.3987273E+002  -0.3995334E+002
  -0.5019572E+001  -0.3128852E+001
  -0.3120091E+001  -0.2461735E+001
  -0.3520438E+002  -0.3586732E+002
  -0.3996893E+002  -0.4328227E+002
  -0.5505037E+002  -0.5809678E+002
  -0.4591305E+002  -0.4952831E+002
  -0.6128952E+002  -0.6403759E+002
  -0.6883134E+002  -0.7205565E+002
  -0.7420387E+002  -0.7965542E+002
  -0.8513557E+002  -0.9122676E+002
  -0.1044449E+003  -0.1097730E+003
  -0.1241029E+003  -0.1292657E+003
  -0.1265539E+003  -0.1299876E+003
  -0.9825506E+002  -0.1016361E+003
  -0.5530108E+002  -0.5958786E+002
  -0.1758953E+002  -0.1870926E+002
  -0.1961717E+001  -0.1960701E+001
   0.7630499E+000   0.5849376E+000
  -0.1068986E+001  -0.1624620E+001
  -0.5919087E+000  -0.1146478E+001
  -0.8898342E+001  -0.1016816E+002
  -0.2448969E+002  -0.2572265E+002
  -0.4013795E+002  -0.4112882E+002
  -0.5395690E+002  -0.5723637E+002
  -0.6101031E+002  -0.6582794E+002
  -0.9406290E+002  -0.1011258E+003
  -0.1604374E+003  -0.1693990E+003
  -0.2205524E+003  -0.2234292E+003
  -0.2569085E+003  -0.2548563E+003
  -0.2605638E+003  -0.2580612E+003
  -0.2822444E+003  -0.2818659E+003
  -0.3302259E+003  -0.3357281E+003
  -0.3704781E+003  -0.3818500E+003
  -0.3698131E+003  -0.3849127E+003
  -0.3268249E+003  -0.3318714E+003
  -0.2597869E+003  -0.2574060E+003
  -0.2006972E+003  -0.2098093E+003
  -0.1627872E+003  -0.1817729E+003
  -0.1161075E+003  -0.1271859E+003
  -0.7362655E+002  -0.7619810E+002
  -0.3066784E+002  -0.3300713E+002
  -0.1493769E+002  -0.2282743E+002
  -0.5814835E+002  -0.6757368E+002
  -0.9740419E+002  -0.1055743E+003
  -0.1169959E+003  -0.1207029E+003
  -0.9451983E+002  -0.9448538E+002
  -0.6249874E+002  -0.6396646E+002
  -0.6368622E+002  -0.6581890E+002
  -0.7761034E+002  -0.8063722E+002
  -0.9667468E+002  -0.1007862E+003
  -0.1053139E+003  -0.1084204E+003
  -0.1035206E+003  -0.1080169E+003
  -0.8683719E+002  -0.9146966E+002
  -0.6575857E+002  -0.6950656E+002
  -0.4360562E+002  -0.4650238E+002
  -0.2825921E+002  -0.2980138E+002
  -0.1490513E+002  -0.1554462E+002
  -0.2429918E+001  -0.2488812E+001
   0.2529745E+001   0.2598339E+001
   0.2328644E+001   0.2360415E+001
  -0.6120596E+001  -0.6959219E+001
  -0.2206531E+002  -0.2353216E+002
  -0.4188809E+002  -0.4311277E+002
  -0.9377870E+002  -0.9894166E+002
  -0.1263683E+003  -0.1367028E+003
  -0.1757327E+003  -0.1845959E+003
  -0.2328740E+003  -0.2386735E+003
  -0.2856390E+003  -0.2877579E+003
  -0.3135383E+003  -0.3165873E+003
  -0.2910271E+003  -0.2984151E+003
