# ~alp d~p/dx   Phi_p_sgs,x
   0.8198252E+001   0.4601106E+001
   0.5280417E+001   0.5972133E+001
   0.2318773E+001   0.4197012E+001
   0.1070216E+000   0.1344766E+002
   0.2538395E+001   0.2098306E+002
   0.9294691E+001   0.1639393E+002
   0.2064820E+002   0.1703785E+001
   0.1664910E+002  -0.9426625E+001
   0.1461402E+002  -0.7187307E+001
   0.7581575E+001  -0.4877952E+001
   0.7408014E+001  -0.2595458E+001
   0.6848741E+001  -0.1557120E+001
   0.7999804E+001   0.7501407E+001
   0.6471144E+001   0.1185763E+002
   0.3333060E+001   0.1342988E+002
   0.2155978E+000   0.6331724E+001
  -0.5164570E+000   0.6706808E+001
   0.8506531E+001   0.1509661E+002
   0.2332558E+002   0.2036111E+002
   0.2341119E+002   0.1752814E+002
   0.9076736E+001   0.1707465E+002
  -0.1772233E+001  -0.6721550E+000
  -0.4547264E+001  -0.2850304E+001
  -0.5020781E+001  -0.2586632E+001
  -0.4600734E+001  -0.1629427E+001
  -0.2370122E+001   0.8630207E+000
  -0.4036311E+001  -0.4190360E+001
  -0.2115248E+002  -0.1375529E+002
  -0.3086150E+002  -0.1521029E+002
  -0.2548682E+002  -0.1691995E+002
  -0.6510612E+001  -0.8960192E+001
  -0.1919600E+001  -0.5273777E+001
  -0.4129402E+001  -0.3932513E+001
  -0.2298494E+002  -0.1292956E+002
  -0.3890309E+002  -0.2498360E+002
  -0.5097082E+002  -0.3198368E+002
  -0.4705050E+002  -0.4023417E+002
  -0.3375110E+002  -0.3449479E+002
  -0.1383740E+002  -0.2207134E+002
   0.1021351E+002  -0.1088357E+002
   0.1813287E+002  -0.2072417E+001
   0.1184020E+002   0.4738730E+001
   0.8057087E+001   0.6754671E+001
   0.9254245E+001   0.1543154E+002
   0.1187458E+002   0.1855013E+002
   0.9401004E+001   0.8936673E+001
   0.1453863E+002  -0.6949122E+001
   0.1114232E+002  -0.1815678E+002
   0.1422656E+002  -0.1234973E+002
   0.8255927E+001  -0.7065723E+001
   0.6853849E+001  -0.2586677E+001
   0.6866315E+001  -0.7326601E+000
   0.6041482E+001   0.4513702E+001
   0.4013011E+001   0.7139102E+001
   0.2133257E+001   0.6592657E+001
  -0.3527488E+000   0.2584349E+001
  -0.1255472E+001   0.4916399E+001
   0.6721478E+001   0.1273390E+002
   0.1943798E+002   0.1716512E+002
   0.2339202E+002   0.1287582E+002
   0.9517191E+001   0.1376085E+002
  -0.2078175E+001   0.1892625E+001
  -0.3233952E+001  -0.9113901E+000
  -0.3546151E+001  -0.8736067E+000
  -0.3899194E+001   0.4631530E+000
  -0.2740877E+001   0.1403410E+001
  -0.9059966E+001  -0.1103890E+002
  -0.2320492E+002  -0.1662106E+002
  -0.3581947E+002  -0.1840543E+002
  -0.2931724E+002  -0.1752770E+002
  -0.1355694E+002  -0.9895272E+001
